Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,Rolling_Volatility
2019-01-31,3.5595085620880127,3.595165565429852,3.3770139904824843,3.398804447009973,842852000,0.04629164237177896,3.601170206069946,3.574919995623594,49.015168396715346,0.024760101699559556,0.06387613039279175,0.04894307187162987
2019-02-01,3.5837748050689697,3.63478418856549,3.530537139421069,3.578079650274053,625048000,0.006817301477910265,3.6218958139419555,3.5757633108088682,47.173183933270785,0.02298035405637533,0.05569697512550847,0.04654464911161221
2019-02-04,3.693965196609497,3.7311078003189513,3.5775846762279366,3.599622614798295,528592000,0.030747018865323605,3.6379786372184753,3.587020633266071,49.16401039917862,0.030114197204619497,0.050580419541330676,0.044973365240231676
2019-02-05,3.713031768798828,3.7496791731204335,3.672174809486618,3.705850777117616,542424000,0.0051615462448946214,3.64608815908432,3.599021693793,50.052933758638375,0.0368811889375249,0.04784057342056952,0.04357206250474958
2019-02-06,3.788555145263672,3.852935876807486,3.740764914745462,3.746212351620541,702464000,0.020340083567148115,3.6623938202857973,3.6170724986949687,52.68109641174294,0.04778732144981701,0.04782992302641902,0.04321023581588295
2019-02-07,3.650384426116944,3.744479293492757,3.607546665578031,3.7422507749665703,637120000,-0.036470557732138253,3.668386173248291,3.6202450632113474,47.321888291566125,0.044765261674811097,0.04721699075609744,0.04405304640516133
2019-02-08,3.668955802917481,3.679603194977889,3.568918066455661,3.5832798133270645,461604000,0.005087512610361555,3.6720261573791504,3.624884181278598,44.22317465759949,0.04336888294429553,0.04644736919373706,0.04389903007203087
2019-02-11,3.6263656616210938,3.6791081322542047,3.578079991863121,3.624879825182458,495180000,-0.011608245938127815,3.6690795183181764,3.6250252746445497,48.328060194551476,0.03838311759111113,0.04483451887321188,0.043656876362107376
2019-02-12,3.74324107170105,3.758841173246999,3.650384325216861,3.664746308472057,591060000,0.03222935053596032,3.6699833154678343,3.636283921983264,51.27752797829128,0.04336287126560867,0.04454018935169124,0.04419160668543143
2019-02-13,3.785583972930908,3.858631301098717,3.759088760291424,3.7727078257234665,605372000,0.011311828551457959,3.6737099647521974,3.650502974454468,46.284079680727714,0.050148005196835044,0.04566175252072,0.04423056833605741
2019-02-14,3.826440572738648,3.85466910114593,3.7415075055631855,3.784593216328751,827264000,0.010792680891478668,3.6807546734809877,3.6672589361958186,45.74756745115743,0.058151722019958996,0.0481597464205678,0.04422103946050385
2019-02-15,3.8960211277008057,4.057715393110544,3.873240272941682,4.034934774498316,1516748000,0.018184146242302024,3.687712752819061,3.6890458115772455,70.67379470323752,0.06931032822286376,0.05238986278102699,0.04419892559619262
2019-02-19,3.878687858581543,3.9591638895349415,3.866307148724316,3.885373649713721,551892000,-0.004448966920641895,3.687353718280792,3.7071069589109884,80.50682851169626,0.07588025374300056,0.05708794097342171,0.043588791066535154
2019-02-20,3.925983428955078,3.9930878868882407,3.896764732411786,3.907907325588882,540988000,0.012193703669372224,3.6994622588157653,3.7279523370104255,78.47150139581933,0.08393576506358347,0.062457505791454065,0.041819489040905065
2019-02-21,3.857145071029663,3.9631254384785057,3.8425356068869903,3.9386115010375433,448548000,-0.017534041895774566,3.70748507976532,3.7402564069170197,67.89753323947619,0.08379915119177284,0.06672583487151781,0.04209805725088974
2019-02-22,3.941831350326538,3.960650373560704,3.895279228555249,3.908898295813704,401740000,0.021955689438009074,3.7091565132141113,3.759454020575069,70.07220013953525,0.08949274207723601,0.07127921631266146,0.04040932297681032
2019-02-25,3.9294488430023193,4.092628912829371,3.9207820175209274,4.025276997916999,656020000,-0.0031413082457708574,3.707348847389221,3.7756440036633787,64.82682299563402,0.09194589398639641,0.07541255184740844,0.040294745776216584
2019-02-26,3.890079259872437,3.980707502283128,3.856650769154673,3.9247458690775567,488464000,-0.010019110746280036,3.7309840083122254,3.786542599492813,60.869589400894846,0.08967946911869484,0.07826593530166573,0.02397767899376831
2019-02-27,3.848231077194214,3.90221166213233,3.791278819599665,3.8757166877971616,500256000,-0.010757668387351926,3.7604629158973695,3.792417692607232,53.821747371564804,0.08354347530079487,0.07932144330149156,0.020944927801996648
2019-02-28,3.823690891265869,3.864342212107197,3.801382507685781,3.8420335921368665,324944000,-0.006377004248465545,3.7815462946891785,3.795396092479483,62.989329057999306,0.07582638867082503,0.07862243237535826,0.019433048026238343
2019-03-01,3.8779759407043457,3.920114163022685,3.8152639630606497,3.873514074150669,357188000,0.01419702873014006,3.797469663619995,3.80326083992947,64.87000739519512,0.07324655108208544,0.07754725611670371,0.01712173203562231
2019-03-04,3.886155843734741,3.939200642067719,3.829640599606062,3.916396307522011,409992000,0.00210932278989584,3.8125887155532836,3.8111556021966386,69.43331860192121,0.07104312015222591,0.07624642892380815,0.017119590568928516
2019-03-05,3.879710912704468,3.917883213973388,3.816255253406574,3.870539442896247,362924000,-0.001658433498147871,3.8218760013580324,3.8176846793878605,62.22883375762817,0.06799305161898372,0.07459575346284326,0.01596945493804767
