Date,Close,High,Low,Open,Volume,Daily_Return,SMA_20,EMA_20,RSI_14,MACD,MACD_Signal,Rolling_Volatility
2019-01-31,165.2389373779297,170.18548889138478,163.56364669766086,164.15842964512674,77233600,0.10816373248318611,144.63983993530275,145.52997805509102,73.80899847180265,4.159038106912277,3.0275961467744352,0.031148682353360393
2019-02-01,164.26748657226562,167.62797571991626,164.21791880145875,164.39634462521155,30806500,-0.005879067131993154,146.32355575561525,147.31450267577432,72.9136422774122,5.13018613759391,3.44811414493833,0.029999419527011444
2019-02-04,167.77664184570312,167.82620960999242,162.19564738299593,164.25754234457509,20036000,0.021362445768558835,147.87493057250975,149.26327783481517,73.97509187423438,6.112526056520721,3.9809965272548085,0.028943030452195238
2019-02-05,169.6700439453125,170.48289792287443,167.22154425674623,167.67753145426727,22557000,0.011285254483461626,149.51601943969726,151.20677936914825,73.08255665511648,6.963547800873613,4.5775067819785695,0.028848463797987903
2019-02-06,169.005859375,170.96861888411965,167.79647848403775,169.7096702269458,13281200,-0.003914565911980139,150.90184860229493,152.90192984589603,74.22419516107178,7.4979626741636025,5.161597960415577,0.02858234315902109
2019-02-07,164.93165588378906,167.7667599987707,163.81148776857412,166.73580479734449,17517600,-0.02410687715963067,151.99970779418945,154.04761803998107,67.82335189047322,7.506209231725393,5.63052021467754,0.02953239591865682
2019-02-08,165.87338256835938,165.91302771016467,162.78054722489733,163.03827846153243,12561400,0.00570979948951611,153.14614028930663,155.17388132839804,67.31424519649477,7.502252860131591,6.004866743768351,0.029480013143194733
2019-02-11,164.3467559814453,166.83491557591657,163.6429451536395,166.4383885857827,12811200,-0.0092035657757501,154.23606796264647,156.04748843821207,68.59178025388668,7.291875201834074,6.262268435381496,0.0296367347603543
2019-02-12,163.60330200195312,166.8745781643805,163.06800941673683,165.4074659623436,16292300,-0.004523691234745941,155.21001510620118,156.76708972999694,72.3106815022152,6.984644238116317,6.406743595928461,0.029743999001105324
2019-02-13,162.64175415039062,164.77303203865117,162.30470240389937,163.94034799052733,14205100,-0.005877313231434811,155.9594352722168,157.32658157955825,69.86064014223595,6.587634460855384,6.442921768913846,0.02956603185682046
2019-02-14,162.52279663085938,163.43478612823927,160.83759831774523,161.7694179484916,12755200,-0.0007314082423216517,156.77279357910157,157.82145920349168,67.42886038344085,6.192024668442116,6.3927423488195005,0.02940137718732118
2019-02-15,161.08541870117188,163.26626442147275,159.45969569593382,163.0779159732994,15504400,-0.008844161923648453,157.47661209106445,158.13231248898504,67.57075217053941,5.696846965824818,6.253563272220565,0.029580611189783793
2019-02-19,160.8772430419922,162.72105216534464,158.93431350398367,159.1028318222628,14345400,-0.0012923308692879276,158.08377914428712,158.3937344464143,72.79597104293737,5.227359289072439,6.048322475590941,0.02956748222937782
2019-02-20,161.14488220214844,162.29478781418132,159.8462884187141,160.8375832306131,11770700,0.0016636234876699074,158.82675247192384,158.65574851838898,67.99050518856865,4.821306150101435,5.80291921049304,0.0291718251839172
2019-02-21,158.64683532714844,160.8276962929608,158.20075562994512,160.52038215617063,15607800,-0.015501869130825519,159.60690155029297,158.65489964303273,33.36667544495933,4.248955294496227,5.492126427293678,0.0288793127437303
2019-02-22,160.48074340820312,160.99622103211192,158.91449552760557,159.18214940697604,15858500,0.011559689024196018,160.4029113769531,158.8287895254299,40.8437255567526,3.8984057782572563,5.173382297486393,0.028888883144602598
2019-02-25,163.18695068359375,164.6243402932276,161.48192235955088,161.6504557921238,18737100,0.016863127736809203,161.17661666870117,159.24385249287408,38.45387307129511,3.795212227351783,4.897748283459471,0.028763952825805697
2019-02-26,162.70123291015625,164.79286570447985,162.37410378581643,162.90939636367105,13784100,-0.002976449841135098,162.00236587524415,159.57312681832954,31.132508857278836,3.6323655804439454,4.6446717428563655,0.02859911126643157
2019-02-27,161.3927001953125,162.50294550505402,159.013598781307,161.48191309499717,12697500,-0.008042549472051741,162.9252601623535,159.74641952089934,30.0829040695168,3.359000320509267,4.387537458386946,0.028038776243891804
2019-02-28,160.04457092285156,162.07672864976868,159.459710516976,160.95656048607134,11114200,-0.008353099432808708,163.4719596862793,159.77481489251383,35.087663752612045,2.9990029775093205,4.109830562211421,0.02682498864287932
2019-03-01,160.86732482910156,161.7099314903632,160.28246450589862,161.1845464371865,11097800,0.005140779855922872,163.25337905883788,159.87886345790315,34.612913301922276,2.748409895287068,3.837546428826551,0.010919228485925653
2019-03-04,165.91299438476562,166.04186754017775,162.40381769038245,162.47320045609553,18894700,0.03136540973143154,163.33565444946288,160.45354259379482,53.95792251579582,2.9232589276697354,3.654688928595188,0.013060198756439075
2019-03-05,169.76914978027344,170.38376287008228,165.10015952891004,165.91301343665094,28187900,0.023242033632188352,163.4352798461914,161.34074327822137,63.463244079251176,3.3345489540765243,3.5906609336914554,0.013223367375216451
2019-03-06,171.00827026367188,172.0590555174548,169.77907432212362,171.39487465270062,21531700,0.007298855445775576,163.50219116210937,162.26146013397855,68.04965211391492,3.7176313899190063,3.616055024936966,0.013084300813834266
