title,description,source,publishedAt,url
"2 Weeks Later, Fans Are Still Upset About Sony Ending Physical Discs But Is Anyone Actually Listening?","Courtesy of PlayStation

Where once there was no option but physical, gaming has evolved, and some players’ entire game libraries are digital. PC players have embraced this long ago, and consoles have been heading in this direction ever since manufacturers st…",ComicBook.com,2026-07-18T21:00:00Z,http://comicbook.com/gaming/feature/2-weeks-later-fans-are-still-upset-about-sony-ending-physical-discs-but-is-anyone-actually-listening/
remotedesktop 1.1.0,"Remote desktop app for Windows computers on the same LAN, with autodiscovery. View other computers and optionally share this one — screen, keyboard, mouse, and clipboard, without RDP or Microsoft authentication.",Pypi.org,2026-07-18T20:17:47Z,https://pypi.org/project/remotedesktop/1.1.0/
Bank of America sends strong verdict on Microsoft stock,"Microsoft has been one of the worst-performing large-cap tech stocks of 2026, down about 20% year to date, even as the company keeps expanding its AI business and growing Azure at a pace most cloud companies would envy.
A lot of investors have been sitting on…",Biztoc.com,2026-07-18T19:42:49Z,https://biztoc.com/x/5b4f3f02c208b915
Bank of America sends strong verdict on Microsoft stock,"Microsoft has been one of the worst-performing large-cap tech stocks of 2026, down about 20% year to date, even as the company keeps expanding its AI busines...",TheStreet,2026-07-18T19:13:00Z,https://www.thestreet.com/investing/stocks/msft-microsoft-stock-bank-of-america-earnings-forecast
Jamie Dimon predicts AI spending will hit $1 trillion next year,"JPMorgan CEO Jamie Dimon forecasts $1 trillion in global AI spending by 2027, creating ripple effects for crypto infrastructure and decentralized compute
The post Jamie Dimon predicts AI spending will hit $1 trillion next year appeared first on Crypto Briefin…",Crypto Briefing,2026-07-18T19:08:47Z,https://cryptobriefing.com/dimon-ai-spending-trillion-crypto-impact/
Slack started as a video game that nobody wanted to play,One failed game somehow created the app that now interrupts millions of workdays.,MakeUseOf,2026-07-18T19:00:12Z,https://www.makeuseof.com/slack-started-as-a-video-game-that-nobody-wanted-to-play/
"This HP Ultra-Portable Laptop Is Just $269.10, Comes With Windows 11 Pro Preinstalled","It's time to get ready for the new school year, and that means picking up a new laptop for a whole lot of students. Thankfully, there are cheaper ways to do it than you might think, including taking advantage of this deal that slashes the price of a 14-inch H…",redmondpie.com,2026-07-18T18:50:53Z,https://www.redmondpie.com/this-hp-ultra-portable-laptop-is-just-269.10-comes-with-windows-11-pro-preinstalled/
"Cover 5,500 Square Feet In Fast Wi-Fi With This Mesh 3-Pack For $128.99 Only","If your home is too big for your Wi-Fi and you're dealing with poor speeds and dead zones, this is the deal for you. Order soon, and you'll get a new TP-Link Deco M5 mesh system with three access points for just $128.99.
The post Cover 5,500 Square Feet In Fa…",redmondpie.com,2026-07-18T18:40:40Z,https://www.redmondpie.com/cover-5500-square-feet-in-fast-wi-fi-with-this-mesh-3-pack-for-128.99-only/
Taylor Sheridan’s Call Of Duty Movie Confirms Official Franchise Universe Setting,"Call of Duty is getting an update, as Taylor Sheridan's upcoming video game adaptation has officially revealed which universe it will be adapting.",Screen Rant,2026-07-18T18:34:45Z,https://screenrant.com/call-of-duty-taylor-sheridan-modern-warfare-universe/
Halo: Campaign Evolved studio reportedly has no new games planned after release date,"Fans anticipating an onslaught of Halo games should prepare for disappointment. A leaker discovered that after the Halo: Campaign Evolved release date, the studio’s roadmap is barren. Besides the canceled multiplayer Project Ekur, other remakes and a new main…",Notebookcheck.net,2026-07-18T18:33:00Z,https://www.notebookcheck.net/Halo-Campaign-Evolved-studio-reportedly-has-no-new-games-planned-after-release-date.1346262.0.html
