Date,Close,High,Low,Open,Volume
2019-01-02,94.1931381225586,94.77997966425383,92.16247095211507,92.73068564935639,35329300
2019-01-03,90.72797393798828,93.32685613906989,90.5416699356985,93.24301756134673,42579100
2019-01-04,94.94766998291016,95.4879409755481,92.15317367077517,92.88905855244998,44060600
2019-01-07,95.06877136230469,96.19588412991266,94.06275799481172,94.6775435467923,35656100
2019-01-08,95.75804901123047,96.84790055480005,94.7427119468028,95.98160666219535,31514400
2019-01-09,97.12735748291016,97.69557220674126,96.16791504630794,96.74544674618706,32280800
2019-01-10,96.50325775146484,96.64298396891861,95.36682827277113,96.14929082644984,30067600
2019-01-11,95.75804901123047,96.3542074849832,94.67750733582264,96.12133285908699,28314200
2019-01-14,95.0594253540039,95.82325384444417,94.32354068165286,94.9196991567882,28437100
2019-01-15,97.8166732788086,97.85393407687918,94.90107801402655,95.4879267001753,31587600
2019-01-16,98.16131591796875,98.98103920096884,97.77008822750236,98.04954063884693,29853900
2019-01-17,98.85063934326172,99.32569853811184,97.58380061011998,97.80735829633008,28393000
2019-01-18,100.33170318603516,100.50869017626661,98.65501014000569,100.09882855963359,37427600
2019-01-22,98.4407730102539,99.76349932573893,97.67694443726407,99.43747623484761,32371300
2019-01-23,99.40020751953125,99.70760374078597,98.12405197196367,98.85062679677567,25874300
2019-01-24,98.9251480102539,99.67034972944384,98.12405864949432,99.53994049460114,23164800
2019-01-25,99.82868194580078,100.49004495780622,98.92512735960065,99.89388654961066,31225600
2019-01-28,97.88187408447266,99.18597353904319,97.49064638013259,98.98104271102594,29476700
2019-01-29,95.88846588134766,97.77940685736505,95.17120799658717,97.69556828983518,31490500
2019-01-30,99.09282684326172,99.09282684326172,97.18325881672939,97.4533942862602,49471900
2019-01-31,97.27639770507812,98.01228244147227,96.11202447156276,96.68955615382367,55636400
2019-02-01,95.73941040039062,96.96898808099108,95.33886577907846,96.6709088586264,35535700
2019-02-04,98.49664306640625,98.55253780541531,95.73009156222261,95.82324709164801,31315100
2019-02-05,99.87528228759766,99.9218529541223,98.70159204691247,98.79474048673215,27325400
2019-02-06,98.76677703857422,99.67033164948907,98.30102782525884,99.67033164948907,20609800
2019-02-07,98.058837890625,98.35691710788015,97.14597339699259,97.98432341638805,29760700
2019-02-08,98.43147277832031,98.53393821099789,97.11806321537307,97.23915549636857,21461100
2019-02-11,98.04022979736328,99.27912466812353,97.77941132073386,98.92515064403747,18914100
2019-02-12,99.5678939819336,99.8007686534428,98.25448453014259,98.86926996740598,25056600
2019-02-13,99.49335479736328,100.39690950021166,99.40020636657648,100.13609105130074,18394900
2019-02-14,99.57717895507812,99.9404627573332,98.42212294551763,99.02759121143028,21784700
2019-02-15,100.80679321289062,100.88131481655735,100.00570374040146,100.51803088214614,26606900
2019-02-19,100.76021575927734,101.21665525313153,100.39693182369302,100.40624880087428,18038500
2019-02-20,100.23634338378906,100.97537093315574,99.43183274205428,100.90053107412884,21607700
2019-02-21,102.3504867553711,102.41596982454375,99.9743756013474,100.0024387542615,29063200
2019-02-22,103.80986022949219,104.02501589378497,102.73406049666386,102.94922329807812,27763200
2019-02-25,104.38983917236328,104.9417741242156,104.08113729253878,104.54887563198757,23750600
2019-02-26,105.11016082763672,105.93337774052556,103.99694128934875,104.0811379022455,21536700
2019-02-27,104.93243408203125,105.11017696322715,103.72566811747757,104.48340920138725,21487100
2019-02-28,104.80146789550781,105.59662177185771,104.52082912938997,104.8108246621816,29083900
2019-03-01,105.2691879272461,105.72756949451394,104.46467742470709,105.60596009747732,23501200
2019-03-04,105.01664733886719,105.94276754684252,103.6508518101706,105.72760470199829,26608000
2019-03-05,104.49275970458984,105.13824100517441,104.05309158694376,105.00727481913144,19538300
2019-03-06,104.5395278930664,105.39081517018386,104.24017561545702,104.6517876735904,17687000
2019-03-07,103.26728057861328,104.35243706298319,102.78083579614767,104.21211411936689,25339000
2019-03-08,103.37953186035156,103.56662434504166,101.7798675637525,102.11663974589133,22818400
2019-03-11,105.54985046386719,105.66210311360568,103.81921978822255,103.82856941761963,26491600
2019-03-12,106.28887176513672,106.6349935976822,105.3814581683487,105.5404875042275,26132700
2019-03-13,107.11207580566406,107.57981412795954,106.43853147961931,106.76594687780207,35513800
2019-03-14,107.1962890625,107.76693051328365,106.95307021966781,107.14951950216549,30763400
