Date,Close,High,Low,Open,Volume
2019-01-02,3.3769824504852295,3.433009280725113,3.2240242248814694,3.238650712908293,508752000
2019-01-03,3.1729564666748047,3.3507054977541753,3.165519334999033,3.3167422733245417,705552000
2019-01-04,3.3762404918670654,3.4144179463337707,3.215349047859081,3.2460893696458317,585620000
2019-01-07,3.554980754852295,3.5919188806213604,3.3821897262720033,3.433506575098347,709160000
2019-01-08,3.466477870941162,3.638773115344162,3.393841183709454,3.6365417630672487,786016000
2019-01-09,3.5346524715423584,3.582002629378568,3.467221797344799,3.5177946256763466,617260000
2019-01-10,3.6003475189208984,3.6090242121554184,3.4548263701592545,3.5153156888004435,523156000
2019-01-11,3.689593553543091,3.71240095974809,3.550269993885523,3.5780354085235424,874764000
2019-01-14,3.729506254196167,3.7547927822667417,3.6137338873293614,3.637285077023628,730168000
2019-01-15,3.715376615524292,3.8016480130469583,3.6970314368176425,3.762230762261631,617012000
2019-01-16,3.6898415088653564,3.775617115928141,3.684387722957906,3.742645684392983,470104000
2019-01-17,3.7612385749816895,3.8011515963552576,3.629600148348307,3.6568700231702356,493436000
2019-01-18,3.8903987407684326,3.9164290600981553,3.759504069182685,3.8110686940915404,651336000
2019-01-22,3.688105583190918,3.8718043740054275,3.65786104942463,3.860152783573428,661552000
2019-01-23,3.7009975910186768,3.8321402518400047,3.669761495731134,3.743389738594542,591020000
2019-01-24,3.9129574298858643,3.9305585846595252,3.780823228932097,3.7855334670386362,708972000
2019-01-25,3.9702236652374268,3.9883208339458593,3.750826525052834,3.8534597378662765,1154572000
2019-01-28,3.421358585357666,3.511348652137013,3.247576258086447,3.385164247758499,2511528000
2019-01-29,3.2624504566192627,3.423589870614671,3.247823965057454,3.375247928204983,1153932000
2019-01-30,3.4059886932373047,3.4203671788864196,3.2589799843642315,3.338558023729748,974228000
2019-01-31,3.56365704536438,3.5993556057019305,3.380949782690653,3.402765635236416,842852000
2019-02-01,3.58795166015625,3.639020494598922,3.5346519465207686,3.5822498677131627,625048000
2019-02-04,3.698269844055176,3.735455730742588,3.5817537032540603,3.6038173230506687,528592000
2019-02-05,3.7173593044281006,3.7540494212708473,3.6764547263616927,3.710169943306687,542424000
2019-02-06,3.7929704189300537,3.857426181333314,3.745124492522982,3.75057827797256,702464000
2019-02-07,3.6546390056610107,3.7488435420610164,3.611751317049208,3.7466124261619984,637120000
2019-02-08,3.673232078552246,3.6838918804604934,3.573077745173492,3.5874562310822453,461604000
2019-02-11,3.63059139251709,3.683395322889367,3.582249456440282,3.6291038246631664,495180000
2019-02-12,3.7476038932800293,3.7632221770531866,3.6546389204194045,3.669017642850428,591060000
2019-02-13,3.7899956703186035,3.8631281274147784,3.7634695803135063,3.7771045173246294,605372000
2019-02-14,3.830900192260742,3.859161620302548,3.745868137747768,3.789004063817399,827264000
2019-02-15,3.900562047958374,4.062444772501486,3.8777546414836745,4.039637602448917,1516748000
2019-02-19,3.8832085132598877,3.9637783399398536,3.8708133735449413,3.8899020967574383,551892000
2019-02-20,3.930558919906616,3.997741583936579,3.9013061707790304,3.912461749959552,540988000
2019-02-21,3.861640691757202,3.967744582570565,3.8470141998365723,3.9432020733846347,448548000
2019-02-22,3.9464244842529297,3.965265435947853,3.8998181186262215,3.9134530552089353,401740000
2019-02-25,3.9340298175811768,4.097400123693652,3.9253528882636495,4.029969689522631,656020000
2019-02-26,3.8946127891540527,3.985346650438618,3.86114534060757,3.9293197991010156,488464000
2019-02-27,3.8527169227600098,3.9067604323413523,3.7956982764723013,3.8802345730721055,500256000
2019-02-28,3.8281478881835938,3.868846593297564,3.805813501351757,3.8465119697999417,324944000
2019-03-01,3.8824961185455322,3.924683457274521,3.819711043673783,3.8780290512297486,357188000
2019-03-04,3.8906853199005127,3.943791944150779,3.834104204905719,3.920961030205286,409992000
2019-03-05,3.884233236312866,3.922450032520482,3.820703610930234,3.8750510759260504,362924000
2019-03-06,3.7733044624328613,3.88373651390848,3.7705747590328067,3.8752991412784,403524000
2019-03-07,3.7040672302246094,3.759407506394355,3.657909114121381,3.749729058125882,450104000
2019-03-08,3.738313913345337,3.7489849385711005,3.593387100897167,3.6147291513486937,422416000
2019-03-11,3.9988832473754883,4.021713920598748,3.71473759404681,3.7618885148316314,859728000
2019-03-12,4.033130168914795,4.079536070908694,3.950491917364302,4.0266777127384925,579576000
2019-03-13,4.18450927734375,4.213792413195135,4.063157928942841,4.070602962463781,768900000
2019-03-14,4.108572006225586,4.205603580882713,4.100878946410553,4.193691715792876,519384000
2019-03-15,4.214041709899902,4.2567253461696986,4.148278418013759,4.151752672981437,661484000
2019-03-18,4.1926984786987305,4.299408249429872,4.165648524041506,4.245556839208918,486992000
2019-03-19,4.360456466674805,4.404877698902246,4.270373873198143,4.287248621196402,854972000
2019-03-20,4.327946662902832,4.4428455392717945,4.2932036509999785,4.389490655990729,719148000
2019-03-21,4.564693927764893,4.590999336565339,4.346063439079334,4.351026795204957,824312000
2019-03-22,4.404876232147217,4.5860344086584925,4.39097921842378,4.537394860626463,747644000
