Date,Close,High,Low,Open,Volume
2019-01-02,52.2705078125,52.57332272092195,50.81342682866761,50.908583724282856,31868000
2019-01-03,50.822837829589844,52.844413130736584,50.669201388757,52.07176536650582,41960000
2019-01-04,53.429725646972656,53.525377872894474,51.38733490786459,51.66982980650256,46022000
2019-01-07,53.32317352294922,53.65919087290687,52.6650081503317,53.57345286950523,47446000
2019-01-08,53.79152297973633,54.187014353029106,52.94800088966492,53.822744092306515,35414000
2019-01-09,53.607154846191406,54.10226487887618,53.246351931681716,53.92136997908412,26998000
2019-01-10,53.46738815307617,53.51595726070346,52.76610620022996,53.274597721733834,26598000
2019-01-11,52.75570297241211,53.196791439584736,52.357235840144156,53.024816319452164,30864000
2019-01-14,52.113399505615234,52.457349745213584,51.96670149930838,52.2040946206828,28490000
2019-01-15,53.848018646240234,53.93524643013607,52.258611888034565,52.43554412141433,37518000
2019-01-16,53.996700286865234,54.63355501884388,53.92236250436648,54.02098673533876,38280000
2019-01-17,54.472984313964844,54.551288548778345,53.68695106092197,53.92137599452413,24896000
2019-01-18,54.878379821777344,55.40867737331329,54.48090337937602,54.942311820332534,44892000
2019-01-22,53.45747375488281,54.46553701842618,53.07387422567446,54.31833991569034,39632000
2019-01-23,53.74394226074219,54.167187396746016,52.90934376478967,53.86536315507689,25194000
2019-01-24,53.72361755371094,53.921860438348624,53.03076001421707,53.64977133240262,29114000
2019-01-25,54.5914306640625,54.68311645269315,54.11019748999407,54.23062772621505,23260000
2019-01-28,53.5184440612793,54.18800591952664,53.25825047341647,54.024459013334045,29334000
2019-01-29,53.03274917602539,53.75980371100518,52.83252492952006,53.57692368708818,19704000
2019-01-30,54.41697311401367,54.492800671374724,53.358854642668284,53.39453753180842,29452000
2019-01-31,55.799705505371094,55.88792394755166,54.77677842980668,55.12320530624324,40232000
2019-02-01,55.43940734863281,56.2214740701124,55.22282955760962,55.62129291519569,33116000
2019-02-04,56.56938552856445,56.6149826428997,55.38439370064637,55.45873526005803,78408000
2019-02-05,57.0872917175293,57.13189816525388,55.68621744950641,55.98506590270298,82296000
2019-02-06,55.651031494140625,57.19285981317814,55.42652081207824,56.95843868754115,48256000
2019-02-07,54.80949401855469,55.11081914301035,54.198907096289624,55.102394698878804,38298000
2019-02-08,54.634544372558594,54.76935060643316,54.23112389952637,54.2628403443188,21766000
2019-02-11,54.62165451049805,55.18218629544978,54.516587177076204,54.702439178816235,18498000
