Date,Close,High,Low,Open,Volume
2019-01-02,134.49888610839844,136.31295760854468,127.44087119055204,127.867135867288,28146200
2019-01-03,130.59320068359375,135.9759249408471,129.97858753588125,133.51751772787816,22717900
2019-01-04,136.7491455078125,136.79871328419475,132.58570943305108,132.8434406938925,29002100
2019-01-07,136.84828186035156,137.6611359191168,134.7269111020634,136.36254185050532,20089300
2019-01-08,141.28924560546875,141.8939360341055,138.3252687296988,138.67222795755654,26263800
2019-01-09,142.9744415283203,143.44035128383746,140.04021745735898,141.70558542315467,22205900
2019-01-10,142.94471740722656,143.30158416591036,139.61396603483087,141.8344719917478,16125000
2019-01-11,142.54820251464844,144.09462006114,141.3289140839084,141.90385178630427,12908000
2019-01-14,144.12432861328125,145.29406416622328,140.04019949403371,140.7638403535413,20520300
2019-01-15,147.65338134765625,149.36831739412628,144.7191567349876,144.73897174350674,24069000
2019-01-16,146.25564575195312,148.34727863691265,145.72035315090284,147.70294298969063,18025700
2019-01-17,147.00904846191406,147.7029519222627,145.2247144739026,145.6707941894152,15787900
2019-01-18,148.73390197753906,151.10309653134343,147.25688204029873,148.44643306975547,31029600
2019-01-22,146.28538513183594,150.2109041829542,145.09581923662802,147.9011854169663,22378700
2019-01-23,143.04383850097656,147.50466497111537,141.8146275394157,146.98918745485338,20098400
2019-01-24,144.560546875,145.16523741000162,141.27936295387815,143.3809034439345,20955500
2019-01-25,147.71286010742188,148.52572925469124,145.26436028708167,146.19617999211297,22237200
2019-01-28,146.18624877929688,147.6632835111283,144.93722274747904,146.7612015918361,15508500
2019-01-29,142.93479919433594,146.81076548069362,142.18140546803033,146.80084285211072,17632100
2019-01-30,149.11058044433594,149.63596554324403,144.43166719952566,144.94714479455325,44613200
2019-01-31,165.23895263671875,170.18550460695715,163.56366180174726,164.15844480413764,77233600
2019-02-01,164.2675018310547,167.6279912908608,164.21793405564347,164.39635989597022,30806500
2019-02-04,167.7766571044922,167.82622487328953,162.19566213421007,164.25755728331245,20036000
2019-02-05,169.67002868652344,170.4828825909837,167.22152921815598,167.6775163746691,22557000
2019-02-06,169.005859375,170.96861888411965,167.79647848403775,169.7096702269458,13281200
2019-02-07,164.93165588378906,167.7667599987707,163.81148776857412,166.73580479734449,17517600
2019-02-08,165.87338256835938,165.91302771016467,162.78054722489733,163.03827846153243,12561400
2019-02-11,164.3467559814453,166.83491557591657,163.6429451536395,166.4383885857827,12811200
2019-02-12,163.60330200195312,166.8745781643805,163.06800941673683,165.4074659623436,16292300
